;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/research/description/mycelium_processing_lvl_3;Further analysis to maximize fluorine yield from harvested mycelium biomass;;;;Weitere Analysen zur Maximierung der Fluorausbeute aus geernteter Myzelbiomasse;;;进一步分析以最大化从收获的菌丝体生物质中获得的氟产量;;
gui/menu/research/description/nitrification_site_lvl_2;Processes raw ammonium directly from deposits into nitric acid;;;;Verarbeitet Rohammonium direkt aus Lagerstätten zu Salpetersäure;;;将矿床中的原生铵直接加工为硝酸。;;
gui/menu/research/description/nitrification_site_lvl_3;Improves the raw ammonium processing directly from deposits into nitric acid by the addition of sludge to maximize yield;;;;Verbessert die Verarbeitung von Rohammonium direkt aus Lagerstätten zu Salpetersäure durch Zugabe von Schlamm, um die Ausbeute zu maximieren;;;通过添加污泥来优化从矿床直接加工原生铵盐为硝酸的流程，以最大化产出。;;
gui/menu/research/description/nitrogen_chemistry;Basic processing tech for handling nitrogen compounds - including ammonium;;;;Grundlegende Verarbeitungstechnologie für den Umgang mit Stickstoffverbindungen – einschließlich Ammonium;;;处理氮化合物（包括铵）的基础加工技术;;
gui/menu/research/description/nitrogen_chemistry_lvl_2;Improved processing tech handling nitrogen compounds;;;;Verbesserte Verarbeitungstechnologie für den Umgang mit Stickstoffverbindungen;;;改进的处理氮化合物的加工技术;;
gui/menu/research/description/nitrogen_chemistry_lvl_3;Optimized processing tech handling nitrogen compounds;;;;Optimierte Verarbeitungstechnologie für den Umgang mit Stickstoffverbindungen;;;优化的处理氮化合物的加工技术;;
gui/menu/research/description/offshore_wind_lvl_1;Wind turbine platform adapted for offshore construction to harness wind power whenever it is. Produces power when the wind blows;;;;Windturbinenplattform, angepasst für den Offshore-Bau, um Windkraft zu nutzen, wann immer sie verfügbar ist. Erzeugt Strom, wenn der Wind weht;;;风力涡轮机平台适配海上建造，可在任何有风的地方利用风能。有风时即可发电。;;
gui/menu/research/description/offshore_wind_lvl_2;Wind turbine platform adapted for offshore construction to harness wind power whenever it is. Produces power when the wind blows;;;;Windkraftanlagenplattform, angepasst für den Offshore-Bau, um Windenergie zu nutzen, wann immer sie verfügbar ist. Erzeugt Strom, wenn der Wind weht;;;风力涡轮机平台适配海上建造，可在任何有风的地方利用风能。有风时即可发电。;;
gui/menu/research/description/ore_processing_lvl_1;Raw ores harvested from strip and subsurface mines can be more efficiently processed into valuable minerals by ore mills.;;;;Roh-Erze, die aus Tagebau- und Untertagebergwerken gewonnen werden, können durch Erzmühlen effizienter zu wertvollen Mineralien verarbeitet werden.;;;从露天矿和地下矿开采的原矿可以通过矿石磨机更有效地加工成有价值的矿物。;;
gui/menu/research/description/ore_processing_lvl_2;Raw ores harvested from strip and subsurface mines can be more efficiently processed into valuable minerals by ore mills.;;;;Roh-Erze, die aus Tagebau- und Untertagebergwerken gewonnen werden, können durch Erzmühlen effizienter zu wertvollen Mineralien verarbeitet werden.;;;从露天矿和地下矿开采的原矿可以通过矿石磨机更有效地加工成有价值的矿物。;;
gui/menu/research/description/ore_processing_lvl_3;Raw ores harvested from strip and subsurface mines can be more efficiently processed into valuable minerals by ore mills.;;;;Roherz, das aus Tagebau- und Untertagebergwerken gewonnen wird, kann in Erzmühlen effizienter zu wertvollen Mineralien verarbeitet werden.;;;从露天矿和地下矿开采的原矿可以通过矿石磨机更有效地加工成有价值的矿物。;;
gui/menu/research/description/outposts_lvl_1;Technical infrastructure needed to support a larger amount of remote outpost;;;;Technische Infrastruktur, die zur Unterstützung einer größeren Anzahl abgelegener Außenposten benötigt wird;;;支持更多远程前哨所需的技术基础设施;;
gui/menu/research/description/outposts_lvl_2;Technical infrastructure needed to support a larger amount of remote outpost;;;;Technische Infrastruktur, die zur Unterstützung einer größeren Anzahl abgelegener Außenposten benötigt wird;;;支持更多远程前哨所需的技术基础设施;;
gui/menu/research/description/outposts_lvl_3;Technical infrastructure needed to support a larger amount of remote outpost;;;;Technische Infrastruktur, die zur Unterstützung einer größeren Anzahl abgelegener Außenposten benötigt wird;;;支持更多远程前哨所需的技术基础设施;;
gui/menu/research/description/outposts_lvl_4;Technical infrastructure needed to support a larger amount of remote outpost;;;;Technische Infrastruktur, die zur Unterstützung einer größeren Anzahl abgelegener Außenposten benötigt wird;;;支持更多远程前哨所需的技术基础设施;;
gui/menu/research/description/outposts_lvl_5;Technical infrastructure needed to support a larger amount of remote outpost;;;;Technische Infrastruktur, die zur Unterstützung einer größeren Anzahl abgelegener Außenposten benötigt wird;;;支持更多远程前哨所需的技术基础设施;;
gui/menu/research/description/petroleum_processing;Provides methods for petroleum processing into reagent chemicals;;;;Bietet Verfahren zur Verarbeitung von Erdöl zu Reagenzien;;;提供将石油加工成化学试剂的方法;;
gui/menu/research/description/petroleum_processing_lvl_2;Provides methods for petroleum processing into reagent chemicals;;;;Bietet Verfahren zur Verarbeitung von Erdöl zu Reagenzien;;;提供将石油加工成化学试剂的方法;;
gui/menu/research/description/planet_defense;Upgrades the planetary scanner satellites with powerful orbital defense laser thus changes the buildings from a purely passive role to an active one.;;;;Rüstet die planetarischen Scannersatelliten mit leistungsstarken Orbitalverteidigungslasern auf und wandelt die Gebäude somit von einer rein passiven in eine aktive Rolle um.;;;用强大的轨道防御激光升级行星扫描仪卫星，从而将建筑从纯被动角色转变为主动角色。;;
gui/menu/research/description/planet_defense_lvl_2;Upgrades firepower for orbital defense satellites;;;;Erhöht die Feuerkraft der Orbitalverteidigungssatelliten;;;升级轨道防御卫星的火力;;
gui/menu/research/description/planet_defense_lvl_3;Optimized firepower for orbital defense satellites;;;;Optimierte Feuerkraft für Orbitalverteidigungssatelliten;;;优化的轨道防御卫星火力;;
gui/menu/research/description/pumps_lvl_1;Provides the most basic pump solution. This simple variant it build to operate autonomously without external power.;;;;;;;;;
gui/menu/research/description/pumps_lvl_2;Standard powered pumps offer a much better sustained flow rate but require a power connection;;;;;;;;;
gui/menu/research/description/pumps_lvl_3;Optimization of pumps to achieve the maximum flow rate;;;;;;;;;
gui/menu/research/description/rare_element_mining_lvl1;Mining equipment for underground ore vein extraction;;;;Bergbauausrüstung für die Gewinnung von Erzvorkommen im Untertagebau;;;用于地下矿脉开采的采矿设备;;
gui/menu/research/description/rare_element_mining_lvl2;Advanced deep ore extraction methods utilizing reactive chemical to dissolve ores;;;;Fortschrittliche Methoden zur Tiefen-Erzgewinnung unter Verwendung reaktiver Chemikalien zum Auflösen von Erzen;;;利用反应性化学物质溶解矿石的高级深层矿石提取方法;;
gui/menu/research/description/rare_element_mining_lvl3;Optimized deep ore extraction methods utilizing reactive chemical to dissolve ores;;;;Optimierte Methoden zur Tiefen-Erzgewinnung unter Verwendung reaktiver Chemikalien zum Auflösen von Erzen;;;利用反应性化学物质溶解矿石的优化深层矿石提取方法;;
gui/menu/research/description/rare_metals_storage;Storage facilities for rare metals;;;;Lagerstätten für seltene Metalle;;;稀有金属的存储设施;;
gui/menu/research/description/reactive_substances;Research into extraction and production of reactive substances from the local environment;;;;Forschung zur Gewinnung und Produktion reaktiver Substanzen aus der lokalen Umgebung;;;研究从当地环境中提取和生产反应性物质;;
gui/menu/research/description/reactive_substances_lvl_2;Advanced extraction and production methods for reactive substances from the local environment;;;;Fortgeschrittene Methoden zur Gewinnung und Produktion reaktiver Substanzen aus der lokalen Umgebung;;;从当地环境中提取和生产反应性物质的高级方法;;
gui/menu/research/description/reactive_substances_lvl_3;Advanced extraction and production methods for reactive substances from the local environment;;;;Fortgeschrittene Methoden zur Gewinnung und Produktion reaktiver Substanzen aus der lokalen Umgebung;;;从当地环境中提取和生产反应性物质的高级方法;;
gui/menu/research/description/regenerating_extractor;The newly discovered resin resource allows to power special local mycelia that are able to extract most resources in a sustainable way albeit much slower then conventional methods. This method applies to surface outcrops only and does not deplete them.;;;;Die neu entdeckte Harzressource ermöglicht die Energieversorgung spezieller lokaler Myzelien, die in der Lage sind, die meisten Ressourcen auf nachhaltige Weise zu gewinnen, wenn auch viel langsamer als mit herkömmlichen Methoden. Diese Methode ist nur auf oberirdische Aufschlüsse anwendbar und führt nicht zu deren Erschöpfung.;;;新发现的树脂资源可以为特殊的本地菌丝体提供能量，这些菌丝体能够以可持续的方式提取大多数资源，尽管比传统方法慢得多。此方法仅适用于地表露天矿物，且不会耗尽它们。;;
gui/menu/research/description/regenerating_extractor_lvl_2;Improvements on the mycelium allow a higher yield at increased maintenance;;;;Verbesserungen am Myzel ermöglichen einen höheren Ertrag bei erhöhtem Wartungsaufwand;;;对菌丝体的改进允许在增加维护成本的情况下获得更高的产量;;
gui/menu/research/description/regenerating_extractor_lvl_3;Improvements on the mycelium allow a higher yield at increased maintenance;;;;Verbesserungen am Myzel ermöglichen einen höheren Ertrag bei erhöhtem Wartungsaufwand;;;对菌丝体的改进允许在增加维护成本的情况下获得更高的产量;;
gui/menu/research/description/repair_central;A central for drone repairing operations. Unlike regular repair stations these drones are able to detect any damage in an entire outpost and are equipped for long range travel.;;;;Ein Zentrum für Drohnenreparaturen. Im Gegensatz zu regulären Reparaturstationen sind diese Drohnen in der Lage, Schäden in einem gesamten Außenposten zu erkennen, und sind für Langstreckenflüge ausgerüstet.;;;无人机维修操作的中心。与普通维修站不同，这些无人机能够检测整个前哨的任何损坏，并配备远程旅行能力。;;
gui/menu/research/description/resin_factory_lvl_1;Natural resin is a masterpiece of biological evolution with organic proteins able to harness cold fusion. As such resin requires a high amount of deuterium as a basic ingredient;;;;Naturharz ist ein Meisterwerk der biologischen Evolution mit organischen Proteinen, die in der Lage sind, die Kalte Fusion zu nutzen. Daher benötigt Harz eine hohe Menge an Deuterium als Grundstoff.;;;天然树脂是生物进化的杰作，其内含的有机蛋白质能够利用冷聚变产生能量。因此，树脂需要大量的氘作为基础原料。;;
gui/menu/research/description/resin_factory_lvl_2;Improved Synthetic Resin Plant;;;;Verbesserte Anlage zur Herstellung von Kunstharz;;;改进型树脂工厂;;
gui/menu/research/description/resin_factory_lvl_3;Optimized Synthetic Resin Plant;;;;Optimierte Anlage zur Herstellung von Kunstharz;;;优化型树脂工厂;;
gui/menu/research/description/resource_converter_cobalt;Uses morphiums ability to transition between elements to convert iron into cobalt;;;;Nutzt die Fähigkeit von Morphium, zwischen Elementen zu wechseln, um Eisen in Kobalt umzuwandeln.;;;利用形变液在元素间转换的能力，将铁转化为钴;;
gui/menu/research/description/resource_converter_palladium;Uses morphium ability to transition between elements to convert cobalt into palladium;;;;Nutzt die Fähigkeit von Morphium, zwischen Elementen zu wechseln, um Kobalt in Palladium umzuwandeln.;;;利用形变液在元素间转换的能力，将钴转化为钯;;
gui/menu/research/description/resource_converter_titanium;Uses morphium ability to transition between elements to convert cobalt into titanium;;;;Nutzt die Fähigkeit von Morphium, zwischen Elementen zu wechseln, um Kobalt in Titan umzuwandeln.;;;利用形变液在元素间转换的能力，将钴转化为钛;;
gui/menu/research/description/resource_converter_uranium;Uses morphium ability to transition between elements to convert ironium into depleted uranium;;;;Nutzt die Fähigkeit von Morphium, zwischen Elementen zu wechseln, um Ironium in abgereichertes Uran umzuwandeln;;;利用形变液在元素间转换的能力，将生物铀转化为贫铀。;;
